x;y;radius;error
1951;2038;1847;163.23317974805832
1953;2034;1846;156.16243143876395
1956;2036;1841;144.86213352282843
1953;2037;1847;129.93114431699118
1957;2040;1848;181.59876968463263
1951;2040;1844;190.31325910488763
1959;2036;1848;192.8671277562777
1953;2039;1845;153.58665535847345
1956;2033;1848;182.8750991423925
1959;2034;1849;215.8101171851158
1955;2041;1846;184.227199892203
1952;2040;1846;180.9463813304901
1952;2033;1841;183.95691470305124
1954;2040;1846;168.49271311362585
1953;2038;1846;138.98107276360193
1955;2034;1848;155.36748292048773
1954;2040;1841;167.6654574473699
1958;2038;1845;163.4385196963946
1956;2041;1841;182.2359211643537
1954;2039;1843;147.06029200553894
1958;2034;1841;194.89981134732565
1959;2041;1848;219.30612361431122
1959;2034;1843;211.60258396466574
1951;2036;1843;169.11522354682288
1957;2036;1847;147.0842792391777
1953;2039;1849;168.63090535004935
1952;2035;1849;147.1000505288442
1955;2039;1841;144.35639051596323
1958;2034;1842;194.77702440818152
1953;2035;1849;140.70980193217596
1958;2041;1849;206.54624631007513
1952;2038;1845;147.3661107222239
1958;2034;1846;194.97921554247537
1954;2033;1841;173.49933596452078
1954;2036;1842;143.50652732451758
1958;2036;1843;170.16706830263138
1957;2039;1847;165.91976269086203
1955;2041;1843;182.26081864039102
1951;2033;1844;188.68532035748163
1955;2033;1845;175.24256747961044
1954;2035;1848;134.53761418660483
1958;2038;1847;170.7021639943123
1956;2037;1841;136.2143605351448
1951;2037;1841;187.85167864958444
1954;2040;1842;166.11858330170313
1956;2040;1843;163.96084266901016
1956;2040;1848;173.81084301074347
1952;2039;1842;172.2365999420484
1954;2033;1843;173.4287712375323
1953;2035;1844;147.56138384342194
1958;2033;1842;206.23459247748056
1955;2034;1846;156.90476542711258
1957;2035;1844;163.62819254398346
1955;2040;1849;174.71204187472662
1956;2033;1849;183.47492822011313
1955;2040;1847;168.91669247547784
1956;2038;1843;127.50517467657725
1958;2041;1846;202.0693087776502
1952;2036;1847;135.94522078831992
1957;2037;1849;152.36232990026474
1956;2041;1846;185.54538748661676
1956;2034;1849;166.48925600449243
1952;2040;1848;186.80733199914297
1958;2037;1843;161.21034606297812
1957;2034;1843;178.85976376136145
1959;2033;1841;221.065167148908
1959;2037;1841;187.77780107657114
1953;2040;1842;173.50639096895853
1951;2038;1846;161.09216113885245
1954;2041;1843;184.6152105728785
1959;2034;1848;214.29036138455072
1954;2033;1849;171.19641987482706
1954;2034;1847;152.18720203638077
1958;2037;1844;160.0647139350573
1951;2040;1847;194.05562752485275
1955;2039;1849;161.94368892908096
1951;2036;1842;177.05925047397614
1953;2038;1847;142.97310769557953
1957;2041;1844;189.72917219003043
1957;2038;1843;139.58989946047464
1955;2037;1844;120.21112916866939
1952;2033;1847;179.67339517672858
1952;2036;1842;163.20433288812637
1957;2035;1848;162.78532918294272
1956;2036;1847;130.98144022623697
1952;2034;1842;173.05893898010254
1952;2037;1844;144.58560341596603
1954;2036;1845;125.50804809729259
1958;2040;1848;194.82134038209915
1956;2041;1845;184.7480028271675
1957;2037;1848;146.87029977639517
1954;2041;1846;185.79697759946188
1955;2035;1849;140.85635083913803
1953;2035;1846;139.0280832449595
1951;2035;1846;158.87276420990625
1956;2033;1845;182.5493371884028
1952;2041;1844;196.65123935540518
1957;2037;1844;137.98214262723923
1954;2038;1841;145.84411104520163
1954;2036;1847;122.08134251832962
1951;2039;1849;185.5512161453565
1951;2034;1844;176.85230807463327
1953;2040;1845;171.90656860669455
1954;2036;1844;130.7357501188914
1952;2034;1843;169.46347083648047
1954;2037;1844;124.41247405608495
1953;2033;1841;177.20075949033102
1952;2038;1849;161.98542799552283
1959;2040;1843;201.73495038350424
1959;2033;1847;226.41591318448386
1959;2035;1848;202.09089773893356
1956;2041;1842;182.67410506804785
1958;2038;1843;160.64815098047256
1956;2036;1849;138.0004583398501
1954;2035;1841;155.43914671738943
1953;2038;1843;143.18579492966333
1951;2037;1843;168.51399528980255
1956;2034;1845;166.16116299231848
1955;2039;1844;143.58443520466486
1956;2035;1842;153.73936522006989
1955;2033;1846;174.8577695886294
1958;2037;1847;164.20897134145102
1957;2037;1846;139.36163131395975
1951;2041;1847;210.21553707122803
1955;2039;1846;149.06910328070322
1957;2036;1846;146.2906172076861
1951;2037;1845;154.65373454491296
1954;2038;1842;138.52007033427557
1951;2039;1841;197.18786962827048
1958;2036;1844;168.5224111676216
1957;2041;1845;190.33068945010504
1956;2034;1844;166.75630515813828
1958;2038;1848;175.17463533083597
1957;2034;1841;178.61632720629373
1954;2040;1843;165.87508507569632
1955;2038;1842;129.99917074044546
